merge sort, quick sort
1065936, 1427060
1068511, 1372219
1065864, 1454450
1067348, 1268591
1063389, 1512337
1068080, 1375085
1065795, 1386110
1089136, 1425667
1064451, 1395190
1103087, 1430326
1076859, 1296682
1062237, 1317439
1068430, 1336029
1063550, 1394909
1071727, 1245460
1062658, 1488886
1067188, 1275496
1066526, 1265755
1100682, 1413540
1066496, 1261916
1081609, 1313831
1066997, 1287493
1068401, 1326257
1077060, 1376759
1065715, 1378433
1059461, 1362918
1064913, 1434316
1064592, 1325456
1069002, 1343395
1070094, 1545460
1067178, 1398727
1068170, 1438395
1072790, 1319683
1062177, 1303467
1065123, 1490419
1062577, 1281139
1062869, 1481018
1072430, 1269513
1063029, 1330718
1065504, 1328884
1066126, 1353608
1115464, 1399078
1060062, 1409831
1067629, 1302475
1062928, 1401865
1061816, 1370134
1063550, 1375346
1062839, 1323702
1067348, 1386631
1065524, 1392042
1067509, 1289747
1062948, 1388896
1067368, 1323332
1063851, 1341862
1067789, 1314292
1069372, 1347244
1063029, 1362467
1065725, 1317409
1069453, 1310303
1063349, 1347866
1069804, 1329766
1065334, 1296592
1064341, 1500922
1069844, 1341892
1063399, 1392394
1066517, 1260873
1060443, 1379856
1059270, 1360904
1062177, 1305192
1068731, 1318090
1062608, 1373933
1073381, 1367719
1063900, 1303618
1115694, 1486961
1069634, 1375315
1063971, 1400891
1063299, 1315384
1064542, 1466657
1067288, 1408889
1076779, 1341261
1062207, 1242653
1063510, 1359220
1064191, 1312678
1058358, 1432863
1061525, 1362688
1063159, 1366988
1068922, 1425656
1066617, 1348236
1067167, 1423111
1061275, 1366115
1064282, 1410503
1064883, 1394237
1062858, 1232010
1061385, 1463750
1062106, 1338665
1062687, 1388906
1058629, 1340208
1062688, 1386320
1064642, 1444859
1058950, 1529094
1062508, 1324534
1038124, 1456314
1059170, 1359791
1060002, 1468701
1067759, 1427841
1061626, 1397675
1052866, 1363389
1060172, 1359421
1066005, 1335408
1065353, 1294919
1064411, 1244859
1063981, 1369212
1065604, 1319634
1058679, 1389938
1062487, 1258840
1062097, 1299028
1064632, 1329114
1060614, 1326247
1060924, 1397284
1064011, 1421196
1061445, 1354911
1065013, 1277781
1061095, 1344007
1064853, 1352405
1062307, 1416687
1068551, 1392082
1075907, 1526358
1067127, 1351834
1065194, 1296943
1062728, 1498166
1059661, 1505863
1062036, 1372079
1064883, 1371969
1064773, 1252004
1066175, 1397434
1050031, 1400652
1065043, 1379224
1062047, 1364261
1065875, 1375316
1047625, 1376559
1063620, 1280357
1065705, 1367238
1065824, 1571448
1065905, 1429154
1065173, 1288886
1064221, 1388896
1061505, 1468922
1063169, 1402556
1064342, 1415203
1061796, 1235067
1064322, 1347846
1065084, 1492764
1064191, 1456655
1063610, 1445531
1062578, 1267679
1067017, 1256695
1064542, 1263149
1058709, 1413500
1064592, 1485990
1061095, 1640228
1067187, 1442875
1069222, 1406124
1060975, 1402585
1062788, 1290349
1061766, 1356414
1063700, 1261255
1063991, 1340659
1072700, 1386551
1104590, 1432702
1070084, 1329354
1066426, 1295239
1062628, 1315183
1065083, 1448416
1072259, 1289466
1065574, 1484877
1064241, 1333544
1065524, 1371788
1066947, 1313420
1063399, 1464021
1060022, 1349088
1065203, 1315163
1064672, 1367649
1063750, 1496011
1060212, 1338204
1061315, 1358258
1059191, 1386630
1062077, 1260813
1066216, 1319042
1062514, 1375954
1064629, 1396348
1066092, 1429379
1065341, 1289497
1064218, 1300370
1057954, 1356311
1063957, 1314491
1064459, 1417684
1058877, 1403423
1061562, 1234958
1059658, 1425882
1064438, 1223774
1088670, 1277410
1066723, 1406781
1065471, 1377357
1059317, 1614792
1062875, 1469697
1063667, 1393642
1062504, 1304769
1064349, 1295940
1065510, 1402933
1066643, 1247235
1063306, 1507479
1067896, 1376375
1060099, 1494751
1067014, 1321856
1064118, 1285778
1068186, 1322378
1064879, 1300039
1068187, 1323230
1066172, 1319141
1066763, 1409276
1059498, 1231941
1065441, 1261806
1065590, 1400847
1066362, 1286770
1062895, 1306163
1064588, 1388792
1065621, 1424690
1062635, 1345067
1059388, 1353274
1065751, 1252536
1058666, 1348725
1063035, 1453322
1061912, 1388952
1064910, 1451668
1064508, 1306033
1060099, 1387990
1064247, 1308939
1065911, 1410449
1066874, 1271488
1062254, 1435553
1061953, 1459495
1057423, 1440714
1057914, 1392720
1063947, 1352012
1062934, 1316275
1063105, 1357364
1062604, 1259161
1064679, 1539428
1068366, 1570476
1062874, 1331658
1063155, 1330425
1063566, 1419839
1061582, 1314681
1062644, 1361964
1070051, 1303597
1067746, 1362785
1060871, 1312255
1062454, 1251965
1068627, 1306483
1066643, 1482415
1058906, 1407503
1066934, 1426714
1063657, 1564262
1070992, 1306724
1063998, 1419739
1062133, 1337500
1060390, 1415960
1060279, 1520106
1063086, 1405688
1061883, 1347632
1068256, 1400016
1065831, 1312747
1064307, 1251423
1063977, 1249880
1064759, 1312095
1061552, 1227381
1063045, 1465599
1060801, 1406279
1064599, 1350488
1062905, 1271146
1066482, 1514304
1068687, 1355991
1061743, 1333632
1065681, 1368848
1063466, 1455286
1059257, 1351851
1062304, 1383520
1063817, 1616735
1061472, 1405438
1060099, 1414697
1066973, 1334956
1062854, 1517441
1061031, 1421753
1061211, 1531671
1066674, 1511598
1063356, 1319872
1067525, 1378800
1065541, 1464426
1060931, 1330826
1059738, 1287452
1060650, 1504082
1064588, 1377527
1060059, 1328691
1064588, 1378059
1064258, 1351982
1061532, 1284456
1066533, 1400357
1065260, 1351500
1062874, 1472824
1063746, 1324864
1063185, 1412433
1066964, 1458453
1063016, 1443270
1067034, 1362525
1067625, 1404616
1063065, 1352824
1062774, 1272490
1061312, 1323892
1062564, 1617547
1065170, 1452650
1064499, 1380172
1060109, 1342211
1062705, 1443862
1066593, 1295489
1064709, 1350669
1076053, 1402522
1059417, 1414447
1067675, 1307355
1065661, 1517380
1064829, 1257778
1095927, 1630977
1065600, 1349808
1064929, 1355810
1066483, 1413666
1063937, 1409687
1062334, 1384212
1060600, 1291481
1066182, 1447459
1063546, 1367836
1063657, 1492967
1062895, 1407412
1064969, 1408153
1069119, 1212960
1066242, 1220196
1062915, 1407873
1063656, 1325464
1064909, 1550663
1066754, 1511868
1064839, 1563972
1062785, 1553008
1063988, 1584196
1067725, 1238967
1068889, 1300650
1065170, 1364419
1085614, 1404045
1064849, 1305481
1060059, 1274213
1059347, 1454274
1101228, 1305881
1068858, 1334484
1064108, 1340587
1062815, 1338081
1065230, 1354798
1062615, 1285698
1064950, 1444142
1064909, 1425451
1064589, 1285277
1065882, 1455556
1065851, 1398894
1065260, 1383700
1060360, 1303948
1059728, 1340727
1063556, 1322398
1059698, 1346530
1064368, 1468645
1063837, 1577120
1062303, 1420962
1061382, 1301492
1065410, 1408124
1061712, 1408695
1063917, 1368628
1061132, 1280095
1063927, 1297354
1063577, 1312185
1063386, 1411871
1062564, 1533034
1066553, 1312867
1061974, 1319502
1063526, 1298235
1058525, 1609270
1058435, 1396839
1067515, 1246794
1070371, 1423397
1062284, 1653245
1061352, 1309610
1065772, 1283343
1064037, 1273873
1062684, 1264502
1061171, 1349586
1062785, 1408976
1062374, 1668599
1063456, 1485151
1061762, 1447309
1062475, 1407202
1061582, 1352834
1064329, 1507439
1063486, 1473535
1066763, 1308347
1064408, 1308367
1063898, 1309249
1060750, 1457180
1060460, 1253378
1063456, 1358305
1062764, 1403895
1058887, 1255793
1063436, 1326327
1062855, 1420340
1063757, 1401289
1077366, 1454845
1063827, 1320423
1064789, 1388902
1113204, 1333541
1062955, 1340076
1062314, 1381666
1063817, 1407011
1064067, 1439472
1064639, 1354517
1062044, 1358677
1063516, 1359317
1064068, 1383700
1061071, 1277781
1061011, 1574345
1060770, 1354217
1062313, 1628261
1066022, 1355479
1063185, 1260594
1065902, 1334584
1065520, 1409216
1063526, 1322999
1062595, 1318319
1065150, 1469156
1065100, 1439742
1065551, 1340607
1069199, 1307976
1063215, 1313339
1061622, 1343263
1057673, 1347162
1056752, 1327238
1061072, 1407312
1058976, 1429851
